,Team,Date,HomeAway,Opp,WinLoss,TmScore,OppScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O_eFG%,O_TOV%,O_ORB%,O_FTFTA,D_eFG%,D_TOV%,D_ORB%,D_FTFTA
111,ATL,2012-01-23,0,MIL,1.0,97,92,101.0,95.7,96.1,0.253,0.133,0.526,48.4,50.0,8.3,4.0,0.476,11.5,16.7,0.217,0.429,11.6,74.5,0.141
112,ATL,2012-01-25,0,SAS,0.0,83,105,88.5,112.0,93.8,0.125,0.213,0.492,43.6,48.6,8.5,13.6,0.475,15.9,14.6,0.088,0.579,16.1,75.7,0.122
113,ATL,2012-01-27,0,DET,,107,101,109.0,102.9,88.9,0.305,0.195,0.575,52.7,72.5,5.1,6.5,0.549,14.7,22.0,0.207,0.446,8.9,76.9,0.194
114,ATL,2012-01-29,0,NOH,1.0,94,72,112.5,86.2,83.5,0.21,0.284,0.531,53.8,61.1,12.0,14.3,0.519,12.8,32.5,0.123,0.39,13.8,76.3,0.205
115,ATL,2012-01-31,0,TOR,1.0,100,77,111.5,85.8,89.7,0.163,0.225,0.583,51.3,51.2,8.9,11.3,0.556,14.9,23.7,0.138,0.397,17.8,77.5,0.26
116,ATL,2012-02-02,1,MEM,0.0,77,96,88.1,109.9,87.4,0.12,0.2,0.488,42.4,69.7,6.9,6.4,0.473,15.1,15.0,0.08,0.494,11.4,66.7,0.141
117,ATL,2012-02-04,1,PHI,0.0,87,98,99.8,112.5,87.1,0.365,0.203,0.507,56.0,62.5,2.3,8.9,0.466,14.9,31.7,0.243,0.523,7.1,79.1,0.068
118,ATL,2012-02-06,1,PHO,0.0,90,99,105.1,115.7,85.6,0.25,0.286,0.483,43.8,57.6,8.2,3.6,0.429,7.0,23.9,0.214,0.589,15.5,70.6,0.076
119,ATL,2012-02-08,1,IND,1.0,97,87,111.4,99.9,87.1,0.316,0.276,0.56,57.7,68.6,10.3,8.2,0.52,14.8,33.3,0.237,0.473,12.4,82.1,0.213
120,ATL,2012-02-10,0,ORL,,89,87,95.3,93.2,84.6,0.22,0.207,0.495,45.3,63.9,6.4,6.8,0.476,10.0,12.5,0.134,0.476,15.2,78.7,0.096
121,ATL,2012-02-12,1,MIA,0.0,87,107,96.5,118.7,90.2,0.078,0.3,0.467,42.2,74.3,4.4,5.6,0.45,12.3,23.5,0.067,0.488,8.5,66.7,0.313
122,ATL,2012-02-14,0,LAL,0.0,78,86,88.8,97.9,87.8,0.156,0.3,0.406,47.5,45.2,13.7,11.9,0.383,10.3,30.9,0.1,0.488,16.2,68.2,0.048
123,ATL,2012-02-15,0,PHO,1.0,101,99,107.0,104.9,94.4,0.225,0.263,0.574,46.5,57.9,15.9,9.6,0.538,13.7,15.4,0.188,0.58,19.8,84.4,0.275
124,ATL,2012-02-18,0,POR,0.0,77,97,93.5,117.8,82.4,0.178,0.37,0.489,35.1,80.0,9.7,6.8,0.459,10.3,10.3,0.137,0.525,12.9,60.5,0.148
125,ATL,2012-02-20,0,CHI,0.0,79,90,89.1,101.5,88.7,0.284,0.338,0.475,44.6,63.3,9.0,14.7,0.466,14.4,18.2,0.135,0.432,11.1,68.8,0.159
126,ATL,2012-02-22,0,NYK,0.0,82,99,84.6,102.1,96.9,0.222,0.358,0.461,46.0,50.0,14.4,3.4,0.444,21.3,26.7,0.123,0.525,18.8,66.7,0.188
127,ATL,2012-02-23,1,ORL,1.0,83,78,92.8,87.2,89.4,0.256,0.218,0.478,54.0,61.3,8.9,8.0,0.442,17.2,26.8,0.179,0.421,12.9,78.3,0.11
128,ATL,2012-02-29,1,GSW,0.0,82,85,90.2,93.5,90.9,0.283,0.196,0.396,48.5,54.8,5.5,9.9,0.359,8.0,29.0,0.174,0.416,10.8,78.0,0.193
129,ATL,2012-03-02,1,MIL,1.0,99,94,97.4,92.5,101.6,0.174,0.267,0.535,54.3,51.3,6.9,6.0,0.5,19.9,25.0,0.151,0.412,14.1,80.0,0.282
